IPC Section,Category,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10
101,Private Defence,Can I hurt someone to save myself?,Is harming someone okay if I’m defending?,I didn’t kill — just injured — is it legal?,I broke his leg when he attacked me,I pushed him hard in fear — now he’s injured,Can non-deadly defence still go to court?,How much harm is allowed in defence?,Is injury without intent okay in defence?,If I injure attacker — is that fine in IPC?,What IPC says if harm done but no one died?
102,Private Defence,When does self-defence start legally?,Can I hit if someone is just threatening?,If he hasn’t touched me yet — can I react?,Is threat enough to start defence?,When can I say danger started legally?,I acted early — before attack — is that defence?,Can I prepare to defend before attack begins?,Is warning enough to justify defence?,He raised stick — I punched — is that self-defence?,Can self-defence continue after attacker runs?
103,Private Defence,Someone broke into house — I hit him hard,He came to rob — I used axe,Can I kill to protect my house?,He had weapon — I defended my land,What IPC says if property is under threat?,I beat thief — now police blaming me,I caught looter and beat him — is that legal?,Can I cause death for property protection?,Can I use deadly force if attacker is armed?,If someone sets fire to house — can I kill him?
104,Private Defence,I hurt man who stole my cow — is it fine?,I hit guy taking my phone,I injured thief — he didn’t die — what now?,Is non-deadly harm allowed to protect goods?,Can I injure someone stealing from my field?,Can I punch someone damaging my shop?,If no deadly force used — is it still legal?,What if robber got hurt — I just stopped him,Is minor injury allowed in property defence?,I used lathi to stop theft — is that self-defence?
105,Private Defence,How long can I defend my home?,When should I stop using self-defence?,Can I chase thief next day?,Is self-defence allowed after attacker runs?,When does right to defend property end?,I continued beating after thief caught — is that legal?,Can I defend till police arrives?,Is time limit there for using defence?,Defence ends after danger ends?,What IPC says about defence period in property?
106,Private Defence,I was attacked — innocent got hurt by mistake,I pushed attacker — he fell on old man,"In defence, someone else got hurt — is it crime?",Can I defend myself even if others may get hurt?,He used me as shield — I hit him and hurt someone else,My defence hurt a bystander — what now?,IPC allows risk to others in urgent defence?,Can I save myself even if others are nearby?,I was in corner — only way was to shoot attacker,My action saved me — someone else injured
107,Abetment,I didn’t hit — I just told him to do it,I told him to beat up someone — now case on me,Can giving advice become a crime?,He did wrong because I encouraged him,What if I provoked him — is that punishable?,Can telling someone to steal lead to jail?,I didn’t act — just planned with him,Am I liable if I didn’t commit the act?,Is giving suggestion also crime in IPC?,What if I just supported the idea?
108,Definition,Who is called an abettor in law?,I didn’t do crime — but they say I abetted,What does IPC mean by abettor?,If I helped only by words — am I abettor?,He blames me for supporting him — is that enough?,Am I an abettor if I gave money for it?,Is staying silent during crime abetment?,Does presence make me an abettor?,Can friend of criminal be called abettor?,If I knew plan but didn’t stop — am I abettor?
108A,Abetment,I told someone abroad to commit act — is it crime?,What if abetment happened in India but act abroad?,Is Indian law valid if act happened outside India?,He did crime outside India — I helped him here,Does IPC apply if abetment was in India?,Can Indian be punished for foreign crime abetment?,Law for encouraging friend abroad to commit offence?,What if crime is abroad but advice was from India?,Am I liable if act is not in India but idea was mine?,Does IPC punish me if crime was outside country?
109,Abetment,What if law has no specific punishment?,He committed crime I told him — now what?,Am I jailed if no section is written separately?,What is punishment for abetment with no section?,If I helped and he did crime — what does IPC say?,Law says I’ll be punished like him — true?,Can I go to jail same as actual offender?,What IPC says when no separate punishment exists?,Will I get same jail term as the doer?,"If no special rule, is general rule applied to me?"
110,Abetment,He did something different than what I told,I told him to slap — he stabbed,Am I responsible if he did more than planned?,What if he used different intention?,I asked to scare — he killed,Am I blamed for what he did beyond my plan?,Can law charge me even if his mind changed?,"If I said one thing, and he did worse — what now?",Is my intention important in abetment?,What if he twisted what I said into a bigger crime?
111,Abetment,I told him to burn hut — he killed someone,He did something worse than what I said,Am I liable for bigger offence he did?,What if he went beyond my instructions?,Is abettor punished even if actual crime changed?,Can I be jailed for outcome I didn’t plan?,Law says I share blame if act changed — true?,He took my advice but did something else — now what?,Am I responsible for consequences I didn’t intend?,Is full blame shared if act becomes worse?
