Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital Status,Religion,State,Education Required,Minority Status,For Orphans,Eligibility Summary
PLI Scheme for White Goods (ACs and LED Lights),DPIIT,Encourages domestic manufacturing by offering incentives for production.,https://www.myscheme.gov.in,18,None,Any,Any,Null,White Goods Manufacturer,Any,Any,Any,Central,None,Any,Any,Manufacturers of ACs and LED lights meeting investment and sales thresholds.
Manufacturing Mission - Furthering Make in India,DPIIT,Aims to promote domestic manufacturing and industrial self-reliance.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Industry / Startup under Make in India,Any,Any,Any,Central,None,Any,Any,"Startups and industries aligned with ""Make in India"" policies and incentives."
PLI Scheme for Footwear and Leather Sector,DPIIT,Incentivizes domestic manufacturing in leather and footwear sectors.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Leather/Footwear Manufacturer,Any,Any,Any,Central,None,Any,Any,Manufacturers in leather/footwear sector with defined turnover thresholds.
UNNATI 2024 (Uttar Poorva Industrialization),DPIIT,Industrial development scheme for North East India to attract investments.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Industrial Unit (North East India),Any,Any,Any,Central,None,Any,Any,Industries establishing units in North Eastern States.
NEIPP,DPIIT,Offers fiscal incentives to industries in North Eastern Region to encourage investments.,https://www.myscheme.gov.in,18,None,Any,Any,Null,New/Existing Industry in NE Region,Any,Any,Any,Central,None,Any,Any,Eligible industrial units (new/existing) in North Eastern states.
NEIDS 2017,DPIIT,Comprehensive incentives to promote industrial development in the North East.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Manufacturing/Service Unit in NE,Any,Any,Any,Central,None,Any,Any,New or expanding manufacturing/service units in NE region.
Transport/Freight Subsidy Scheme,DPIIT,Reduces transportation costs for industries in remote/hilly regions.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Industrial Units in Remote/Hilly Areas,Any,Any,Any,Central,None,Any,Any,Industrial units in eligible areas availing transport/freight reimbursement.
Industrial Development Scheme 2017 – J&K and Ladakh,DPIIT,Aims to attract investments and generate employment in J&K and Ladakh.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Manufacturing/Service Unit,Any,Any,Any,Central,None,Any,Any,Manufacturing and service units in J&K and Ladakh.
Industrial Development Scheme – HP and Uttarakhand,DPIIT,Supports industries through capital subsidy and transport incentives.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Industrial Unit,Any,Any,Any,Central,None,Any,Any,Eligible units in notified districts of Himachal Pradesh and Uttarakhand.
Industrial Development of UT of Jammu and Kashmir,DPIIT,New industrial initiative to boost entrepreneurship and employment.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Industrial Unit,Any,Any,Any,Central,None,Any,Any,All eligible industrial units under notified sectors in J&K.
Industrial Development of Ladakh 2022,DPIIT,Aims to create infrastructure and incentives for industries in Ladakh.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Industrial Unit,Any,Any,Any,Central,None,Any,Any,New and existing units under Ladakh’s industrial policy.
Refund of Central and Integrated GST to Units in NE/Himalayas,DPIIT,Refund of CGST and IGST for eligible manufacturing units to ease tax burden.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Manufacturing Unit,Any,Any,Any,Central,None,Any,Any,Units in NE and Himalayan states under notified refund guidelines.
Postal Operation,Department of Posts,"Covers core postal services, mail delivery, logistics, customer services, and postal network growth.",https://www.myscheme.gov.in,None,None,Any,Any,Null,Citizen / Govt Employee,Any,Any,Any,Central,None,Any,Any,Open to all citizens as users; internally operational for service improvement.
India Post Payments Bank (IPPB),Department of Posts,Banking services through postal network at citizen’s doorstep.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Any,Any,Any,Any,Central,None,Any,Any,Any Indian resident with valid KYC documents.
Human Resource Management,Department of Posts,Training and skill development for postal employees.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Postal Department Employee,Any,Any,Any,Central,None,Any,Any,Employees of the Department of Posts.
Estates Management,Department of Posts,Maintenance and management of postal buildings and staff quarters.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Postal Department Employee,Any,Any,Any,Central,None,Any,Any,Applicable to postal employees and internal offices only.
IT Modernization Project 2.0,Department of Posts,Digitization and modernization of core postal and banking services.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Postal Dept / General Public,Any,Any,Any,Central,None,Any,Any,"Postal offices, postal employees, and Indian citizens availing digital services."
Additional Transfer to Reserve Fund,Department of Telecommunications,Transfer of telecom revenue to reserve funds for future infra needs.,Internal government financial adjustment – not applicable to public schemes.,None,None,Any,Any,Null,NA,NA,NA,NA,Central,NA,NA,NA,Not applicable – internal financial allocation.
Additional Amount met from Reserve Fund,Department of Telecommunications,Utilization of reserves to meet extra telecom expenditure.,Internal government financial adjustment – not applicable to public schemes.,None,None,Any,Any,Null,NA,NA,NA,NA,Central,NA,NA,NA,Not applicable – internal fund use.
Optical Fibre Cable-based Network for Defence Services,Department of Telecommunications,Lays secure OFC networks for defence communication.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Defence Services / MoD Units,Any,Any,Any,Central,None,Any,Any,Ministry of Defence and allied defence units.
Domestic Industry Incentivisation Scheme,Department of Telecommunications,Promotes Atmanirbhar Bharat by incentivizing domestic telecom manufacturers.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Telecom Manufacturer,Any,Any,Any,Central,None,Any,Any,Indian manufacturers registered under telecom production/investment norms.
Wireless Planning and Coordination,Department of Telecommunications,Manages wireless spectrum planning and licensing across India.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Telecom Operator / Broadcaster / Govt Dept,Any,Any,Any,Central,None,Any,Any,"Telecom operators, broadcasters, and government spectrum users."
Telecom Testing and Security Certification Centre,Department of Telecommunications,Certifies telecom equipment for compliance with quality and security norms.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Telecom Vendors / OEMs,Any,Any,Any,Central,None,Any,Any,Telecom vendors and original equipment manufacturers.
Telecom Computer Emergency Response Team (T-CERT),Department of Telecommunications,Protects telecom infrastructure by responding to cybersecurity threats.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Telecom Operator / ISP,Any,Any,Any,Central,None,Any,Any,Telecom operators and ISPs under regulatory monitoring.
Funding to BSNL for Providing Telecom Connectivity – Amarnath Yatra,Department of Telecommunications,Supports BSNL in maintaining telecom services during the Amarnath pilgrimage.,"Not applicable – direct government funding to BSNL, not open to public access.",None,None,Any,Any,Null,BSNL (Govt Telecom Entity),NA,NA,NA,Central,NA,NA,NA,Not open to public – direct government funding to BSNL.
5G Connectivity Test Bed,Department of Telecommunications,Develops testing ecosystem for 5G innovations and applications in India.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Academic / Startup / Telecom Company,Any,Any,Any,Central,None,Any,Any,Institutions and startups engaged in 5G-related research and development.
Digital Intelligence Unit Project,Department of Telecommunications,Special unit for telecom fraud detection and investigation.,https://www.myscheme.gov.in,18,None,Any,Any,Null,Regulatory Authority / Enforcement Body,Any,Any,Any,Central,None,Any,Any,For use by telecom regulatory and enforcement agencies only.
Price Stabilisation Fund,Department of Consumer Affairs,Aims to stabilize prices of essential commodities by managing buffer stocks and supply shocks.,https://www.myscheme.gov.in,None,None,Any,Any,Null,"Central/State Agencies (e.g., NAFED, FCI)",Any,Any,Any,Central,None,Any,Any,"Implemented via govt agencies like NAFED, FCI; no direct individual eligibility."
CONFONET,Department of Consumer Affairs,Computerization and networking of consumer dispute redressal forums across all levels.,https://www.myscheme.gov.in,None,None,Any,Any,Null,Consumer Forums (National/State/District),Any,Any,Any,Central,None,Any,Any,Applicable to judicial institutions handling consumer cases.
Consumer Awareness (Advertising & Publicity),Department of Consumer Affairs,Media campaigns and outreach for educating consumers about their rights and responsibilities.,https://www.myscheme.gov.in,None,None,Any,Any,Null,General Public / Media / Outreach Agencies,Any,Any,Any,Central,None,Any,Any,Awareness campaign targeting general public; implemented through empaneled or govt outreach channels.
Consumer Protection Cell,Department of Consumer Affairs,"Cell for planning, coordinating, and monitoring consumer protection schemes and policies.","Not applicable – internal government unit, not open to public applications.",None,None,Any,Any,Null,Internal Govt Unit / Policy Cell,NA,NA,NA,Central,NA,NA,NA,Internal unit—no external eligibility.
Price Monitoring Structure,Department of Consumer Affairs,Monitors daily retail prices of essential items to help in price control decisions.,https://www.myscheme.gov.in,None,None,Any,Any,Null,Govt Departments / Market Analysts,Any,Any,Any,Central,None,Any,Any,"Managed by government and statistical departments, not individuals."
Bureau of Indian Standards (BIS),Department of Consumer Affairs,"National standards body of India ensuring quality, safety, and reliability of products.","Not applicable – targeted institutional support, not open to public applications.",None,None,Any,None,None,"Manufacturers, labs, and consumers",None,None,None,Central,None,None,None,"Manufacturers, labs, and consumers."
National Test House,Department of Consumer Affairs,"Provides quality assurance services through testing, calibration, and consultancy.","Not applicable – targeted institutional support, not open to public applications.",None,None,Any,None,None,"Industries, regulatory bodies, and manufacturers",None,None,None,Central,None,None,None,"Industries, regulatory bodies, and manufacturers."
Strengthening of Weights and Measures Infrastructure and Strengthening of Regional Reference Standard Laboratories and Indian Institute of Legal Metrology,Department of Consumer Affairs,Enhances legal metrology infrastructure and provides training and calibration services.,"Not applicable – targeted institutional support, not open to public applications.",None,None,Any,None,None,"State legal metrology departments, RRS labs, and IILM trainees",None,None,None,Central,None,None,None,"State legal metrology departments, RRS labs, and IILM trainees."
Food Subsidy to Food Corporation of India under National Food Security Act (NFSA),Department of Food and Public Distribution,Reimbursement to FCI for distributing foodgrains under NFSA to priority households at subsidized rates.,"Not applicable – targeted institutional support, not open to public applications.",None,None,Any,None,None,Food Corporation of India (FCI),None,None,None,Central,None,None,None,Food Corporation of India (FCI).
