BNS Section,Category,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10
256,Public servant using false record,Officer submitted wrong record in court.,Patwari used fake file in land case.,My cousin was denied pension due to wrong data.,Gram sevak gave false figures to higher officer.,They showed incorrect ration list on official letter.,Officer presented old data pretending it is new.,Is using false file a punishable act?,Clerk issued certificate based on wrong record.,Job approval based on outdated or wrong document.,He gave report with false witness signature.
257,Falsifying records in elections,Someone added names in voters' list fraudulently.,Names of dead people still in voter list.,Officials added people from outside the village.,They removed eligible voters from list.,Wrong booth info was given to us.,Can election record tampering lead to punishment?,My uncle was denied vote due to list error.,Someone voted using fake name.,Names of whole family were missing from register.,They printed multiple IDs for one person.
258,Giving false information to public servant,My neighbor gave wrong age for pension scheme.,Someone submitted fake income certificate.,He told police false story about theft.,Person gave false residence to get ration card.,She claimed to be widow but husband is alive.,Is lying to officers punishable?,My cousin lied about land boundary to patwari.,Wrong caste was mentioned in form.,Someone declared fake assets for loan.,He gave false FIR to trap neighbor.
259,Intentional insult to provoke breach of peace,A man abused me in front of the market crowd.,Neighbor kept provoking me with dirty words.,Someone insulted my mother to cause fight.,Is verbal abuse that causes fight a crime?,They came to our home and shouted bad things.,Constant teasing led to punch by cousin.,They mocked my caste in front of others.,My father was taunted till he reacted.,Verbal argument turned into scuffle after insult.,Someone challenged us to fight in anger.
260,Intentional provocation to cause offence,My cousin was provoked to attack by neighbor's taunt.,Someone incited my brother to damage property.,A man told lies to create fight between families.,Villager spread false news to make others angry.,He provoked crowd to beat shopkeeper.,I was peaceful but he pushed me to react.,They called us thieves in front of village head.,My brother reacted after being mocked repeatedly.,Can we file complaint if provoked intentionally?,Someone lit fire near cattle to scare us.
261,Public nuisance,There’s a man who plays loud music every night.,A nearby factory throws waste into our water.,Someone blocked the village path with bricks.,Is loudspeaker at night a legal problem?,Drunkards gather near temple and create noise.,The road is always blocked by illegal carts.,They burn garbage in the middle of village.,"Sewer line is left open, causing foul smell.",Tractor driver dumps mud on walking path.,Street vendors crowd temple area every day.
262,Negligent act likely to spread disease,A man with fever is roaming without checkup.,They are not covering food properly in shop.,Open drain outside the school is spreading illness.,Can we complain if sick person isn’t isolating?,Cook in midday meal has symptoms but still works.,Sick cattle are left free near water source.,"Handpump water smells bad, causing stomach issues.",Family with TB not taking medicines.,They are dumping toilet waste in field.,People still spitting in open despite warning.
263,Malignant act likely to spread disease,He knows he has a disease but still mixes with us.,A man with infection purposely coughed in crowd.,Can someone be punished for spreading illness knowingly?,They sent child with high fever to school.,Man with skin disease shared towel in temple.,Woman with infection worked in food stall.,Patient escaped from isolation ward.,They don’t follow health rule despite awareness.,He touched everyone at the wedding despite being sick.,Man spread false info that water is safe.
264,Adulteration of food or drink,My daughter fell ill after eating toffee from shop.,Oil from vendor smelled like kerosene.,Sweets had insects inside the box.,Can fake food sellers be punished?,He mixes water in milk every day.,Flour bought had worms in it.,They use banned color in pickles.,Old expired biscuits being sold at fair.,Juice was made using drainage water.,Cow died after eating feed from local shop.
265,Sale of noxious food or drink,He sold stale food knowing it’s harmful.,My child vomited after drinking local soda.,Tea seller uses bad milk but still sells it.,Vendor adds chemicals to make food smell good.,Are these people punished for bad food?,My uncle got stomach infection after meal.,Rice from shop had plastic pieces.,Chips had oil that smelled rotten.,They sell leftover food from marriage in stall.,Water pouch had dead insect inside.
